Palabra              Idf                 
cronogram           : 0.47712125471966244 
despues             : 0.0                 
promov              : 0.47712125471966244 
veloc               : 0.47712125471966244 
envi                : 0.0                 
++                  : 0.47712125471966244 
cont                : 0.17609125905568124 
hambr               : 0.17609125905568124 
consig              : 0.47712125471966244 
cual                : 0.0                 
necesit             : 0.0                 
expect              : 0.17609125905568124 
mont                : 0.47712125471966244 
par                 : 0.47712125471966244 
conflict            : 0.47712125471966244 
entorn              : 0.47712125471966244 
component           : 0.0                 
escuelit            : 0.47712125471966244 
artimañ             : 0.47712125471966244 
superior            : 0.47712125471966244 
curi                : 0.47712125471966244 
tio                 : 0.47712125471966244 
problemat           : 0.47712125471966244 
desventaj           : 0.47712125471966244 
consist             : 0.47712125471966244 
encerr              : 0.47712125471966244 
refier              : 0.47712125471966244 
salg                : 0.17609125905568124 
parqueader          : 0.47712125471966244 
mio                 : 0.47712125471966244 
memoric             : 0.47712125471966244 
consult             : 0.17609125905568124 
lees                : 0.47712125471966244 
manej               : 0.47712125471966244 
mios                : 0.47712125471966244 
simplement          : 0.0                 
naturalez           : 0.17609125905568124 
chic                : 0.0                 
equilibri           : 0.47712125471966244 
lin                 : 0.47712125471966244 
cienci              : 0.47712125471966244 
borrador            : 0.17609125905568124 
interfaz            : 0.47712125471966244 
matricul            : 0.47712125471966244 
mov                 : 0.47712125471966244 
electr              : 0.47712125471966244 
decan               : 0.47712125471966244 
grand               : 0.0                 
ahor                : 0.0                 
enmarc              : 0.47712125471966244 
cerc                : 0.47712125471966244 
tecnolog            : 0.47712125471966244 
congres             : 0.47712125471966244 
dij                 : 0.0                 
gent                : 0.17609125905568124 
nervios             : 0.47712125471966244 
researchjournal     : 0.47712125471966244 
cost                : 0.47712125471966244 
director            : 0.47712125471966244 
objet               : 0.0                 
tacañ               : 0.47712125471966244 
pens                : 0.0                 
nuev                : 0.0                 
politecn            : 0.17609125905568124 
clasif              : 0.47712125471966244 
convoc              : 0.47712125471966244 
respons             : 0.0                 
molest              : 0.17609125905568124 
cierr               : 0.17609125905568124 
teng                : 0.0                 
vier                : 0.47712125471966244 
hor                 : 0.0                 
piez                : 0.47712125471966244 
divert              : 0.47712125471966244 
mini                : 0.47712125471966244 
dars                : 0.47712125471966244 
jocos               : 0.47712125471966244 
contador            : 0.47712125471966244 
rocafuert           : 0.47712125471966244 
encantadisim        : 0.47712125471966244 
suel                : 0.17609125905568124 
ves                 : 0.17609125905568124 
penal               : 0.47712125471966244 
trayect             : 0.47712125471966244 
econom              : 0.17609125905568124 
mit                 : 0.47712125471966244 
vay                 : 0.47712125471966244 
requer              : 0.47712125471966244 
carn                : 0.47712125471966244 
aromaterapi         : 0.47712125471966244 
ningun              : 0.0                 
meg                 : 0.17609125905568124 
contact             : 0.47712125471966244 
si                  : 0.0                 
sab                 : 0.0                 
tamañ               : 0.47712125471966244 
andar               : 0.47712125471966244 
chiruz              : 0.47712125471966244 
leyer               : 0.47712125471966244 
money               : 0.47712125471966244 
di                  : 0.0                 
supl                : 0.47712125471966244 
condensal           : 0.47712125471966244 
cumpl               : 0.0                 
contrat             : 0.47712125471966244 
olor                : 0.47712125471966244 
tu                  : 0.0                 
orgull              : 0.47712125471966244 
adefesi             : 0.47712125471966244 
descifr             : 0.47712125471966244 
feedback            : 0.47712125471966244 
actual              : 0.17609125905568124 
incorpor            : 0.47712125471966244 
blabl               : 0.47712125471966244 
vec                 : 0.0                 
enfatiz             : 0.47712125471966244 
contradictori       : 0.47712125471966244 
hac                 : 0.0                 
intermedi           : 0.47712125471966244 
le                  : 0.0                 
clarit              : 0.47712125471966244 
relaj               : 0.47712125471966244 
fas                 : 0.17609125905568124 
requier             : 0.47712125471966244 
realiz              : 0.47712125471966244 
inferior            : 0.47712125471966244 
dedic               : 0.17609125905568124 
situacion           : 0.0                 
regl                : 0.47712125471966244 
medicin             : 0.47712125471966244 
oye                 : 0.47712125471966244 
s                   : 0.47712125471966244 
valios              : 0.47712125471966244 
coordin             : 0.17609125905568124 
med                 : 0.47712125471966244 
concaten            : 0.47712125471966244 
mor                 : 0.47712125471966244 
contest             : 0.0                 
acumul              : 0.47712125471966244 
direct              : 0.17609125905568124 
verif               : 0.47712125471966244 
rog                 : 0.47712125471966244 
alla                : 0.17609125905568124 
ocurr               : 0.47712125471966244 
contrari            : 0.47712125471966244 
concepcion          : 0.47712125471966244 
maestr              : 0.17609125905568124 
hed                 : 0.47712125471966244 
conferent           : 0.0                 
hech                : 0.0                 
salud               : 0.47712125471966244 
tapi                : 0.47712125471966244 
